"StudyDay","Group","TrtLabel","asfs","mean_3","stderr_3","n_3","mean_1","stderr_1","n_1","mean_2","stderr_2","n_2"
1,"D","BC-1","26-30",3.44444,0.24551,18,3.44444,0.21726,18,3.38889,0.25742,18
1,"D","BC-1","32-34",3.75000,0.20359,20,3.25000,0.21613,20,3.70000,0.14690,20
1,"D","BC-1","36 Plus",4.04545,0.15398,22,3.77273,0.18530,22,3.77273,0.19664,22
1,"D","Pantene","26-30",3.84211,0.21982,19,3.73684,0.25180,19,3.89474,0.20080,19
1,"D","Pantene","32-34",4.00000,0.18058,24,4.12500,0.16277,24,3.95833,0.12739,24
1,"D","Pantene","36 Plus",4.29412,0.18718,17,4.00000,0.19174,17,3.82353,0.19620,17
112,"D","BC-1","0-14",2.14286,0.18340,28,2.25000,0.18986,28,2.42857,0.18848,28
112,"D","BC-1","16-24",2.78571,0.21429,14,2.71429,0.16336,14,2.92857,0.19511,14
112,"D","BC-1","26-30",2.50000,0.50000,4,2.25000,0.47871,4,3.00000,0.70711,4
112,"D","BC-1","32-34",3.33333,0.88192,3,3.00000,1.00000,3,2.00000,0.57735,3
112,"D","BC-1","36 Plus",3.50000,0.34157,6,3.83333,0.47726,6,3.83333,0.30732,6
112,"D","Pantene","0-14",2.75000,0.25000,8,2.87500,0.29505,8,3.00000,0.26726,8
112,"D","Pantene","16-24",3.27273,0.27273,11,3.45455,0.41261,11,3.09091,0.25062,11
112,"D","Pantene","26-30",3.55556,0.21726,18,3.22222,0.19055,18,3.27778,0.17723,18
112,"D","Pantene","32-34",3.75000,0.25000,4,3.50000,0.28868,4,4.00000,0.00000,4
112,"D","Pantene","36 Plus",4.07692,0.34828,13,4.00000,0.25318,13,3.61538,0.36757,13

