"Obs","Attrib","Effect","trt","Estimate","StdErr","DF","tValue","Probt"
"1","Greasiness","trt","Control Shampoo Only",0.6889,0.3134,11.6,2.20,0.0490
"2","Greasiness","trt","Fekkai Commercial Gloss",3.5037,0.3134,11.6,11.18,<.0001
"3","Greasiness","trt","Fekkai Commercial Gloss+SFE839",3.4569,0.3134,11.6,11.03,<.0001
"4","Greasiness","trt","Lab Made Gloss Only",4.4333,0.3134,11.6,14.15,<.0001
"5","Greasiness","trt","Lab Made Gloss+SFE839",3.6729,0.3134,11.6,11.72,<.0001
"6","Greasiness","trt","SFE839+MAKIMOUSSE",0.9516,0.3134,11.6,3.04,0.0107
"7","Shine","trt","Control Shampoo Only",1.4336,0.1757,100,8.16,<.0001
"8","Shine","trt","Fekkai Commercial Gloss",1.2842,0.1757,100,7.31,<.0001
"9","Shine","trt","Fekkai Commercial Gloss+SFE839",1.3008,0.1757,100,7.40,<.0001
"10","Shine","trt","Lab Made Gloss Only",0.8832,0.1757,100,5.03,<.0001
"11","Shine","trt","Lab Made Gloss+SFE839",1.2846,0.1757,100,7.31,<.0001
"12","Shine","trt","SFE839+MAKIMOUSSE",1.8100,0.1757,100,10.30,<.0001

"Obs","Attrib","trt","_trt","Diff","Probt","Trt_LSMean","_Trt_LSMean"
"1","Greasiness","Lab Made Gloss Only","Lab Made Gloss+SFE839",0.7604,0.1127,4.4333,3.6729
"2","Greasiness","Lab Made Gloss Only","Fekkai Commercial Gloss",0.9296,0.0585,4.4333,3.5037
"3","Greasiness","Lab Made Gloss Only","Fekkai Commercial Gloss+SFE839",0.9764,0.0486,4.4333,3.4569
"4","Greasiness","Lab Made Gloss Only","SFE839+MAKIMOUSSE",3.4817,<.0001,4.4333,0.9516
"5","Greasiness","Lab Made Gloss Only","Control Shampoo Only",3.7444,<.0001,4.4333,0.6889
"6","Greasiness","Lab Made Gloss+SFE839","Lab Made Gloss Only",-0.7604,0.1127,3.6729,4.4333
"7","Greasiness","Lab Made Gloss+SFE839","Fekkai Commercial Gloss",0.1692,0.7094,3.6729,3.5037
"8","Greasiness","Lab Made Gloss+SFE839","Fekkai Commercial Gloss+SFE839",0.2160,0.6350,3.6729,3.4569
"9","Greasiness","Lab Made Gloss+SFE839","SFE839+MAKIMOUSSE",2.7213,<.0001,3.6729,0.9516
"10","Greasiness","Lab Made Gloss+SFE839","Control Shampoo Only",2.9841,<.0001,3.6729,0.6889
"11","Greasiness","Fekkai Commercial Gloss","Lab Made Gloss Only",-0.9296,0.0585,3.5037,4.4333
"12","Greasiness","Fekkai Commercial Gloss","Lab Made Gloss+SFE839",-0.1692,0.7094,3.5037,3.6729
"13","Greasiness","Fekkai Commercial Gloss","Fekkai Commercial Gloss+SFE839",0.04678,0.9177,3.5037,3.4569
"14","Greasiness","Fekkai Commercial Gloss","SFE839+MAKIMOUSSE",2.5521,0.0001,3.5037,0.9516
"15","Greasiness","Fekkai Commercial Gloss","Control Shampoo Only",2.8148,<.0001,3.5037,0.6889
"16","Greasiness","Fekkai Commercial Gloss+SFE839","Lab Made Gloss Only",-0.9764,0.0486,3.4569,4.4333
"17","Greasiness","Fekkai Commercial Gloss+SFE839","Lab Made Gloss+SFE839",-0.2160,0.6350,3.4569,3.6729
